source,keyword,title,authors,doi,publication_date,journal,abstract
PubMed,aortic stenosis,From fetal aortic valvuloplasty to Ross operation: an exciting journey.,Eva Sames-Dolzer; Andreas Tulzer; Rudolf Mair,10.1093/ejcts/ezag152,2026-04-24,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,
PubMed,aortic stenosis,Trans-catheter versus open surgical aortic valve replacement in severe symptomatic aortic stenosis.,Mohammed Fawzy Eltaweel; Ismail Nasr Elsokkary; Mohamed Wael Badawi; Ahmed Yacoub Mohamed Adas; Ahmed Alherazi; Mohamed A Wahba Yossif; Gamil K Ibrahim; Ahmed Ramadan; Hani Albatrek; Ibrahim Mohammed Khalil,10.1186/s13019-026-04035-7,2026-04-24,Journal of cardiothoracic surgery,
PubMed,aortic stenosis,Trend and clinical outcomes of transcatheter aortic valve replacement in connective tissue disease from the national inpatient sample database (2016-2022).,Farah Yasmin; Asad Ur Rab; Muhammad Sohaib Asghar; Maryam Shaharyar; M Chadi Alraies,10.1186/s13019-026-04170-1,2026-04-24,Journal of cardiothoracic surgery,"Given the systemic nature of connective tissue diseases (CTD), open surgical intervention for aortic stenosis is often considered high risk, making transcatheter aortic valve replacement (TAVR) a potentially preferable alternative. However, data on the impact of CTD on TAVR outcomes remain limited. Therefore, we conducted a nationwide analysis using the National Inpatient Sample (NIS) to examine trends and in-hospital outcomes of TAVR in patients with CTD in the United States.
A total of 90,298 patients undergoing TAVR between 2016 and 2022 were identified, representing over 451,000 weighted hospitalizations, including 3,821 (4.2%) with CTD. Multivariable regression was used to adjust for demographic, clinical, and hospital-level characteristics. CTD patients were more frequently female and had higher comorbidity indices, although many differences were small in absolute magnitude.
In-hospital mortality was comparable between CTD and non-CTD groups (1.0% vs. 1.2%, p = 0.345). Rates of permanent pacemaker implantation and major complications, including vascular events, were similar. CTD patients demonstrated modestly shorter length of stay and lower inflation-adjusted hospitalization costs. Lower rates of cardiogenic shock, cardiac arrest, and mechanical ventilation were observed in the CTD cohort. In-hospital mortality declined significantly over time in the overall cohort, with a similar directional trend in CTD patients that did not reach statistical significance, likely due to smaller sample size.
Overall, TAVR appears to be a safe and feasible therapeutic option in patients with CTD, with outcomes comparable to those without CTD."
PubMed,aortic stenosis,Transferability of a US claims-based machine learning model for ATTRwt-CM identification: a retrospective evaluation in a German setting.,Harisa Muratovic-Colic; Miriam R Hübner; Jan-Filip Rehburg; Isabel Mattig; Paul J Wetzel; Katrin Wrede-Wihl; Helena F Pernice; Gina Barzen; Nicolas Wieder; Jakub Piwowarski; Stephan Bohl; Vera von Landenberg-Roberg; Daniel Messroghli; Sebastian Spethmann; Richard Röttger; Josef Schepers; Katrin Hahn,10.1038/s41598-026-49636-3,2026-04-24,Scientific reports,"Cardiac amyloidosis (CA), a fatal and progressive cardiomyopathy is characterized by amyloid deposition within the myocardium. The main forms of CA include transthyretin amyloidosis (ATTR-CM; distinguished into a hereditary and wildtype form [ATTRv and ATTRwt]) and light-chain amyloidosis (AL). Transthyretin amyloidosis with cardiomyopathy (ATTR-CM) is increasingly recognized among heart failure (HF) patients, despite its underestimated prevalence as a rare disease. ATTR-CM is challenging to diagnose due to its broad phenotypic overlap with HF, yet a timely differentiation of CA is crucial, as effective treatment can significantly improve quality of life. Machine learning (ML) approaches could enable earlier detection of ATTR-CM in routine care data. Data of ATTR-CM patients from the Amyloidosis Center Charité Berlin (2002-2023) and data from a cohort with heart failure and aortic stenosis screened for ATTR-CM were mapped from ICD-10-GM to ICD-10-CM and evaluated with an open-source random forest (RF) model based on ICD-10-CM codes which was previously validated in multiple external cohorts in the US and UK. In the cohort of patients with HF and aortic stenosis, cases of ATTR-CM were recognized using the algorithm, although it was not possible to distinguish between ATTRv-CM and ATTRwt-CM. Sensitivity and specificity were significantly lower than in the external validations in the US and UK. Model performance depended strongly on coding granularity and feature availability and contributed to the diminished predictive power. While the RF model showed moderate transferability under enriched conditions, reliance of geographically specific ICD-10 systems limits broader applicability due to coding discrepancies and information loss. These findings underscore the need for improved semantic harmonization of routine data, as well as the integration of rare disease specific ontologies such as the Human Phenotype Ontology (HPO) and ORPHAcodes to enhance cross-border ML-based assistance for timely diagnosing patients with rare diseases."
PubMed,aortic stenosis,Combining Coronary CTA Features with Clinical Risk Factors for Predicting Adverse Clinical Outcomes Following Transcatheter Aortic Valve Replacement.,He Zhu; Yan Deng; Shuo Zhang; Xinlong Peng; Yanmei Wang; Yiqiang Xu; Pei Nie,10.1016/j.acra.2026.04.001,2026-04-23,Academic radiology,"To explore the value of coronary computed tomography angiography (CCTA)-derived features combined with clinical factors for predicting adverse outcomes after transcatheter aortic valve replacement (TAVR).
A multicenter cohort of 406 pre-CCTA TAVR candidates were enrolled. The primary endpoint was major adverse cardiac events (MACE), and the secondary endpoint was all-cause mortality. Univariable and multivariable Cox analyses were used to identify the independent clinical and CCTA-derived predictors for post-TAVR MACE, and the clinical model, the imaging model and the combined model were constructed. Model performance was evaluated with time-dependent area under the receiver operating characteristic (ROC) curve (time-dependent area under the curve (AUC)) and Harrell's concordance index (C-index). Likelihood ratio χ2 test was used to compare the nested models. The interpretability of the combined model was evaluated by using SHapley Additive exPlanations (SHAP) method.
The median follow-up was 768 days. MACE occurred in 12.6%, all-cause mortality in 13%. Univariable and multivariate analysis identified age (hazard ratio (HR) 1.082, P < 0.001) and serum creatinine (HR 1.010, P < 0.001) as independent clinical predictors, segment stenosis score (SSS, HR 1.077, P < 0.001) and left anterior descending (LAD)-fat attenuation index (FAI), HR 1.070, P < 0.001) as independent imaging predictors of MACE. The combined model outperformed the clinical model with higher C-index (0.756 vs 0.713), 1-year AUC (0.863 vs 0.779) and 3-year AUC (0.814 vs 0.760) in test cohort. Likelihood ratio test confirmed better fit of the combined model (P = 0.020). SHAP analysis showed LAD-FAI was the most important prognostic factor for post-TAVR MACE.
The combined model incorporating CCTA features and clinical factors improves predictive efficacy for adverse outcomes in patients after TAVR."
PubMed,aortic stenosis,From Paravalvular Leak to Transvalvular Regurgitation: A Case of Persistent Symptoms After Transcatheter Aortic Valve Implantation Requiring Redo Transcatheter Aortic Valve Implantation.,Ehsan Khalilipur; Alireza Mousavi Majd; Ata Firouzi; Ali Sarreshtehdari,10.5543/tkda.2026.87947,2026-04-24,Turk Kardiyoloji Dernegi arsivi : Turk Kardiyoloji Derneginin yayin organidir,"Transcatheter aortic valve implantation (TAVI) is a cornerstone treatment for severe aortic stenosis; however, complications such as paravalvular leak (PVL), hypoattenuated leaflet thickening (HALT), and hypoattenuation affecting motion (HAM) can lead to persistent symptoms requiring reintervention. We report the case of a 70-year-old man with symptomatic severe aortic stenosis who underwent TAVI with a 27.5-mm Myval™ transcatheter heart valve (Meril Life Sciences, Vapi, Gujarat, India). Post-procedure, moderate PVL was identified, followed by persistent dyspnea at three months. Multimodal imaging, including transthoracic echocardiography, transesophageal echocardiography, and computed tomography, revealed HALT, HAM, and moderate-to-severe transvalvular leakage (TVL). Despite balloon post-dilation and anticoagulation therapy, symptoms persisted, necessitating a valve-in-valve redo TAVI with a 26-mm Myval™ transcatheter heart valve (Meril Life Sciences, Vapi, Gujarat, India). Follow-up imaging confirmed the absence of significant PVL or TVL, with complete resolution of symptoms. This case underscores the importance of multimodal imaging and individualized management strategies, including redo TAVI, in the treatment of complex post-TAVI complications."
PubMed,aortic stenosis,Aortic Sinus-to-RVOT Communication Following Harmony Valve Implantation.,Gareth J Morgan; Karen P McCarthy; Emily Downs; John C Love,10.1002/ccd.70634,2026-04-24,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,"The use of self-expanding valve platforms in the setting of regurgitant native right ventricular outflow tracts is progressing rapidly, promising the potential of lifetime percutaneous therapy for some patients who previously had been committed to sternotomy with cardiopulmonary bypass surgery. These developments have been associated with some unpredicted complications whose aetiologies are now starting to develop into patterns which may be related to valve design as well as specific patient anatomic substrates. We report the case of an iatrogenic communication from the RVOT into the right coronary sinus by a Harmony valve in a patient whose original diagnosis was pulmonary stenosis with a small ventricular septal defect."
PubMed,aortic stenosis,Does Intercommissural Distance Shortening in Bicuspid Aortic Valve Repair Improve Valve Opening Area?,Satoshi Hoshino; Satoshi Arimura; Junpei Takada; Yusei Okamoto; Shiho Mineta; Kiyotaka Iwasaki; Takashi Kunihara,10.1016/j.atssr.2025.08.010,2026-03,Annals of thoracic surgery short reports,"Standardized bicuspid aortic valve (BAV) repair makes 2 symmetrical cusps by plicating the fused cusp, which is accompanied by risk of aortic stenosis. Here, the effect of improving cusp mobility by shortening the intercommissural distance (ICD) on increasing the aortic valve area was examined in a BAV model using a pulsatile flow simulator.
Six pairs of symmetrical BAV were created in a neo-Valsalva graft with bovine pericardium (free margin length, 26 mm; geometric height, 20 mm), which were incorporated into a pulsation circuit simulator. The ICD was gradually shortened, and the forward flow, leakage flow, pressure gradient, and aortic valve area were measured. The average value of a total of 18 measurements (3 for each model) was examined.
Forward flow remained constant and leakage increased slightly with ICD shortening, but the differences were not statistically significant (P = .17). Peak and mean transvalvular pressure gradient were significantly reduced by ICD shortening (peak: control 26.75 ± 4.33 mm Hg vs 22-mm ICD 23.85 ± 2.91 mm Hg, P < .05; mean: control 17.57 ± 3.59 mmHg vs 20-mm ICD 14.76 ± 2.40 mm Hg, P = .01). Aortic valve area was increased significantly by ICD shortening (control 2.03 ± 0.37 cm2 vs 18-mm ICD 2.71 ± 0.47 cm2, P <.01).
With shortening of the ICD, the effect of increasing the aortic valve area and decreasing the pressure gradient was confirmed. Shortening the sinotubular junction diameter (= ICD) is important in aortic valvuloplasty for BAV."
PubMed,aortic stenosis,Surgical Aortic Valve Outcomes With Transcatheter Aortic Valve Replacement Hospital Status.,Maxwell C Braasch; Fengxian Wang; R J Waken; Karen E Joynt Maddox; Alexander A Brescia; Tsuyoshi Kaneko,10.1016/j.atssr.2025.07.002,2026-03,Annals of thoracic surgery short reports,"Both surgical aortic valve replacement (SAVR) and transcatheter aortic valve replacement (TAVR) are treatments of aortic stenosis. There remain hospitals that perform SAVR and not TAVR. The study objective was to compare SAVR outcomes at SAVR-only hospitals with those at SAVR/TAVR hospitals.
Medicare beneficiaries who underwent SAVR from January 2018 to June 2023 were analyzed. Logistic regression analyses were performed to determine whether 30-day and 1-year mortality of patients undergoing SAVR differed between SAVR-only and SAVR/TAVR hospitals from 2021 to 2023.
A total of 98,003 SAVRs occurred from 2018 to 2023, including 94,170 performed at SAVR/TAVR hospitals. From 2021 to 2023, 30-day and 1-year mortality after SAVR was higher at SAVR-only hospitals than at SAVR/TAVR hospitals (7.3% vs 5% [P < .0001]; 14.1% vs 8.8% [P < .0001]). All SAVRs at SAVR-only hospitals had higher odds of both 30-day (odds ratio [OR], 1.68 [CI, 1.31-2.17]) and 1-year (OR, 1.77 [CI, 1.44-2.19]) mortality compared with SAVRs performed at SAVR/TAVR hospitals, whereas there was no difference in 30-day (OR, 1.22 [CI, 0.71-2.10]) or 1-year mortality (OR, 0.82 [CI, 0.58-1.19]) for isolated SAVRs.
Mortality after all SAVRs is higher at SAVR-only hospitals than at SAVR/TAVR hospitals, but not for isolated SAVR. Further research is needed to understand whether the Center of Excellence concept is the best avenue to improve SAVR mortality."
PubMed,aortic stenosis,Aortic Valve Replacement and Ascending Aortic Plication in a Postpneumonectomy Patient: Surgical and Perioperative Challenges.,Waad Attafi; Joy Edlin; Kulvinder Lall,10.1016/j.atssr.2025.09.001,2026-03,Annals of thoracic surgery short reports,"Cardiac surgery in postpneumonectomy patients presents unique challenges resulting from altered anatomy and compromised pulmonary function. We report the case of a 56-year-old man with a history of left pneumonectomy for squamous cell carcinoma who underwent an aortic valve replacement and ascending aortic plication for bicuspid aortic valve stenosis and aneurysm. Preoperative planning, including extracorporeal membrane oxygenation readiness, was critical. Median sternotomy with femoral cannulation was performed, with an uneventful recovery, highlighting the importance of meticulous perioperative planning and multidisciplinary approach in optimizing outcomes."
